,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2013,7.0,st-patricks-college,63140U
0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,46.0,2013,52.0,dunmore-community-school,91414Q
0,0.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,33.0,0.0,1.0,1.0,3.0,6.0,13.0,0.0,1.0,133.0,2013,123.0,presentation-college,63040Q
0,0.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,13.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,6.0,60.0,2013,52.0,st-raphaels-college,63070C
0,0.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,24.0,2013,22.0,seamount-college,63050T
0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,30.0,2013,22.0,mercy-college,63171I
0,0.0,2.0,1.0,1.0,0.0,7.0,4.0,1.0,4.0,2.0,1.0,0.0,3.0,9.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,2.0,85.0,2013,60.0,portumna-community-school,91413O
0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,5.0,53.0,2013,48.0,colaiste-chroi-mhuire-an-spideal,63130R
0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,36.0,0.0,1.0,1.0,3.0,10.0,3.0,0.0,7.0,143.0,2013,151.0,presentation-college,62870G
0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,71.0,2018,37.0,colaiste-claregalway,76233C
